sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SDSS-II SN 5725,II,g',53666.373369999936,53655.048454941345,0.8407803356695976,0.0011078442427025997,20.493509748494397,15.524268560596395
SDSS-II SN 5725,II,i',53614.13087821379,53618.71167776971,1.9321066379836656,0.00011233468902400601,62.79860705957505,99.80834575688495
SDSS-II SN 5725,II,r',53666.376672026185,53675.1274471284,2.0983625858629713,0.10127295251696308,5.678076959130202,6.804616042335203
SDSS-II SN 5725,II,u',53658.97782268176,53684.32479854953,0.013370833208703851,0.163329833336816,99.99999999998819,2.191235338804564
SDSS-II SN 5725,II,z',53666.28983688423,53687.27446618773,0.8569610642757958,0.0004987558710215972,99.23179237170837,21.461741100070768
SDSS-II SN 18140,II,g',54397.41026999733,54416.000316532954,0.9393333907430461,0.0016574505077651509,99.99999999927203,12.222684933427477
SDSS-II SN 18140,II,i',54397.26771218456,54411.54166616565,0.9013022004542909,0.0009272889326690333,98.10334680482254,17.397160634102757
SDSS-II SN 18140,II,r',54343.460723316195,54374.39242580551,0.0479355197375545,3.656092730472269,12.788799414507826,99.98266577959372
SDSS-II SN 18140,II,u',54341.46165992638,54366.341624199915,0.03898708429370067,3.066725246616594,12.287062204336545,99.98045263571187
SDSS-II SN 18140,II,z',54389.93436667564,54397.51268514317,0.5435658269617237,0.03838177687265754,9.83987942730248,1.9374255808902974
SDSS-II SN 15975,II,g',54011.308485293455,54043.79373780298,13.07441518521932,0.8622404815268928,6.205045166707216,99.94071220660472
SDSS-II SN 15975,II,i',53994.618527516104,54009.96355637074,0.6991936122152957,0.004924482745004999,21.6097276223411,1.2017542121594522
SDSS-II SN 15975,II,r',53975.87950869923,54034.73524999424,1889.9852620341962,0.053497708831364996,7.3262777184340475,99.99999999818824
SDSS-II SN 15975,II,u',54010.55058966113,54032.596759867716,0.5060474153500987,0.001557229097258656,54.46804727573125,0.1721806830210037
SDSS-II SN 15975,II,z',54025.38631999983,54041.33531869589,0.4222286991815237,0.0006221486492441681,99.99999999999999,72.86861881832272
SDSS-II SN 18480,II,g',54347.63225923239,54342.24326000001,1.438097027427005,0.002008139316915107,23.188949555849685,99.99870128288877
SDSS-II SN 18480,II,i',54351.91742383042,54342.90474080003,0.9183973601786394,0.002550420354316808,22.725717280349052,99.61874871369967
SDSS-II SN 18480,II,r',54342.24494191134,54389.578273952786,660.2556671710909,0.0426802666131311,7.0047969353930215,99.99999999999999
SDSS-II SN 18480,II,u',54366.83535079629,54402.98952508673,3.9493182259714175,9.2543113153527,5.573850044072554,99.94746674019771
SDSS-II SN 18480,II,z',54342.24575517226,54381.7402198829,8.338675234249369,0.2869252301748379,8.95908821617633,99.99999999999999
SDSS-II SN 14959,II,g',54025.339089999965,54052.605161249616,1.1240678187691082,0.0005600577010473506,99.99999999999915,17.49545942452508
SDSS-II SN 14959,II,i',53960.33909000618,54036.51877596135,15564199.882479658,0.18816513642353863,4.4423916905328324,99.99999999999999
SDSS-II SN 14959,II,r',53960.34074103168,54004.336026446654,0.11064704605416513,1.0531832567016806,15.17870920979456,88.55233599587227
SDSS-II SN 14959,II,u',53975.211166253495,53986.52156694681,0.4998043333286378,0.0007217993018752431,49.13117113556355,50.12985534734225
SDSS-II SN 14959,II,z',54025.33825999999,54041.84286232168,0.6432548822397369,0.0036045171757408587,35.002979811574505,9.227947059490996
SDSS-II SN 22005,II,g',54332.400369261675,54374.84293456805,0.07021501684221682,4.690395182305096,12.154479029544703,97.03992991629396
SDSS-II SN 22005,II,i',54370.78318546846,54404.66879788578,7.8567807775268665,32.189394207894644,4.280827480420413,99.97635311021924
SDSS-II SN 22005,II,r',54344.16957345242,54342.37289422227,0.3656794662647659,0.001368263398782952,71.23424046763398,99.99048727610021
SDSS-II SN 22005,II,u',54352.74816600148,54401.007413119594,1.5443984448704682,6.636473057790688,7.872322001471384,99.99493994461757
SDSS-II SN 22005,II,z',54390.219002966645,54407.2922895288,8.546659697067982,0.6666904089783926,4.31250761222689,99.99986919892253
SDSS-II SN 4483,II,g',53624.3191203834,53640.84796506201,0.796582410171111,0.0035038444059555833,26.614083397950925,4.5246902372083255
SDSS-II SN 4483,II,i',53616.220279107496,53627.58546197785,0.5004127882898081,0.0012911371371036194,49.169336416182176,50.13223471415493
SDSS-II SN 4483,II,r',53616.219472384524,53627.58457649524,0.5004921037881044,0.001367888550532629,49.169543279194215,50.13221743149262
SDSS-II SN 4483,II,u',53676.32194577865,53665.445169496714,0.4020186673568931,0.019896359238059772,7.7976149369269026,20.76602999912599
SDSS-II SN 4483,II,z',53616.2202824292,53627.58556139171,0.5004144147523922,0.0012972037875379854,49.16941696919258,50.13223965845254
SDSS-II SN 20899,II,g',54412.309462103396,54417.75993494788,0.7532674942951525,0.026555300803373667,96.5963694880332,3.6358427800944746
SDSS-II SN 20899,II,i',54407.30853999999,54410.183543666666,1.4524651513642348,0.05030870883680011,5.590349727698351,1.8642464788332975
SDSS-II SN 20899,II,r',54407.30771999999,54400.73682739021,2.7371100466045513e-05,860.7306810122808,5.500258189474426,8.275555923019864
SDSS-II SN 20899,II,u',54404.52665789115,54373.42504340208,0.7662940893397904,9.121369885361804e-05,99.97546892175293,50.99675221071829
SDSS-II SN 20899,II,z',54358.82526521936,54394.66483065504,8.67568611735663,0.01472375099006314,12.653960550815302,99.80362531576486
SDSS-II SN 17843,II,g',54396.314359994474,54400.07320861151,0.803567084771757,0.0023019970040824584,31.97013698660966,14.248016316721527
