sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SDSS-II SN 8489,Ia,i',53672.213039999995,53661.6980856208,0.0034247424638176615,3.215310437046459,5.850813065972665,10.430792146816465
SDSS-II SN 8489,Ia,r',53614.46352037115,53663.79382337047,677.0677768678117,0.039753827843431365,7.619344100865866,99.99999999599916
SDSS-II SN 8489,Ia,u',53607.20972002265,53628.75744158872,2.007571364133975,0.06952876781370039,10.106802821656059,99.99999986887907
SDSS-II SN 8489,Ia,z',53672.21303979409,53672.19619334616,0.0023703571868456943,22.21879955789046,4.294123350523319,3.3246922053911088
SN2016emr,Ia,G,57597.40845914701,57585.96482456403,1.2407420768333395,0.004075335028424531,12.934827984843315,99.86043969081916
SDSS-II SN 15860,Ia,g',54025.31587395136,54019.40240617822,0.08198661886519505,0.22437838625933892,7.329655883980181,12.818185362338157
SDSS-II SN 15860,Ia,i',54025.315885555385,54017.195373460985,0.32318488506749665,0.034417263538599724,9.854093004019926,19.063304115868693
SDSS-II SN 15860,Ia,r',53978.19554674664,54023.68155480299,5.337622707265157,2.5075049901891737,7.894043100619301,99.99997942733712
SDSS-II SN 15860,Ia,u',54002.12025605644,54047.72471158704,8.303197882240028,20.260940771460426,5.532326072296062,99.98153570272682
SDSS-II SN 15860,Ia,z',53961.19865333847,54023.44043469001,0.13997246071332597,2.6371134273414305,14.591966651878558,99.93714041420755
SN2017fzw,Ia,G,57974.7421843171,58045.46064535443,1.9950381803955937,0.00037392313356975965,26.466277754751694,99.99862126994175
SN2006ln,Ia,g',54024.27844903363,54015.83409647136,0.4370898610681159,0.03931052562481904,6.069368651599774,9.10617267221609
SN2006ln,Ia,i',53961.10868483549,54011.7243493198,0.413640125544284,3.938991805989195,11.494520232439339,99.98133570676303
SN2006ln,Ia,r',54024.27911276412,54018.88972628175,1.1796277758094915,0.013148043531260669,8.310661272763587,15.546083261295365
SN2006ln,Ia,u',53959.278932912246,54004.80530881301,0.10850161210863031,7.359254272613246,11.100474775261528,99.89670251863956
SN2006ln,Ia,z',53959.279819546566,54003.5973182331,0.05067926259219159,6.794374453404265,13.143008896251546,99.86856392973029
SDSS-II SN 2926,Ia,g',53633.47150770479,53659.03158665373,0.5023019723021859,0.004655787670562775,18.026704147690854,3.7561963937779432
SDSS-II SN 2926,Ia,i',53625.48083800366,53687.08318707901,1.6407456566540493,8.227180683057552e-18,36.020728117183246,10.141350293579531
SDSS-II SN 2926,Ia,r',53648.25737502428,53673.739013574996,0.6120914020401194,0.002695529907757037,21.223724812522747,7.964428101861811
SDSS-II SN 2926,Ia,u',53607.33838930789,53617.87566337146,0.010173073648350496,5.331199230260092,10.12423363372171,98.57351183071029
SDSS-II SN 2926,Ia,z',53672.156180649545,53693.42449293607,0.2998544881712095,0.005576818638944706,93.12817396308995,4.482245718945337
SDSS-II SN 21402,Ia,g',54397.44598999999,54400.593910101874,4.6289017862848594e-05,2453.374191997263,5.055401546273035,0.2689645536386634
SDSS-II SN 21402,Ia,i',54355.992575049066,54397.665699673445,1.6764733570959147,7.205437374348175,7.5037439373349955,99.99198738316487
SDSS-II SN 21402,Ia,r',54363.11938803435,54401.552371698504,2.9717850816024547,7.286424573685041,6.618232183228734,99.99744604917412
SDSS-II SN 21402,Ia,u',54349.706668083185,54385.78826923378,1.002732810022366,15.04696825813959,6.084406253399389,99.93520147390211
SDSS-II SN 21402,Ia,z',54332.44599037708,54405.173429253075,138943.52859042498,1.4332195909531007,4.904214252318676,99.99999999999956
SDSS-II SN 19742,Ia,g',54337.312161734386,54384.52370662934,1299.7756826345224,0.022106888844170076,7.1462949431384715,99.99999999977372
SDSS-II SN 19742,Ia,i',54335.11736459665,54378.29109277608,0.5839352171456701,1.7398645350854187,11.23680845677339,99.9864455941501
SDSS-II SN 19742,Ia,r',54331.23882930906,54376.79506267717,0.09036184320253153,7.222875890392167,12.365452826836174,99.89316876684292
SDSS-II SN 19742,Ia,u',54331.23783976786,54343.63227291384,0.01941634674876738,6.708224476166195,8.206535596206074,97.91107150352616
SDSS-II SN 19742,Ia,z',54346.11287267333,54357.513370434666,0.5002912995665938,0.001238000175413785,49.18693842201548,50.13308078121729
SN2006lo,Ia,g',54025.20361999999,54017.90908767531,0.19019689189967323,0.08045024956282586,6.574037530291389,4.423471052966944
SN2006lo,Ia,i',53983.968674033575,54016.21566735805,0.18332658296831067,4.710771957842338,9.662950120174832,99.9754227080993
SN2006lo,Ia,r',53981.20665880125,54016.34076229555,0.46524803802480896,3.37474574675052,8.911835677222836,94.70797003048041
SN2006lo,Ia,u',54046.20640999999,54054.184344776746,0.13201702469461477,0.058879950565730796,99.99999999999999,7.0656635551520885
SN2006lo,Ia,z',53960.2041572643,54011.200234328404,0.08304220700954774,3.597678789083914,14.781687201594067,95.19122929020449
SN2020lmd,Ia,G,59081.10312999595,59148.100847631504,1.4107374315947705,0.00011252912935529886,47.47784861856165,99.99809562312825
SDSS-II SN 16945,Ia,g',53996.84670999135,54039.960187500874,2.4518101782662454,4.497514222043266,7.766008154225081,99.99619258251889
SDSS-II SN 16945,Ia,i',54039.45087423686,54046.6950420056,1.1970109985214987,0.0955944216449707,6.619002915611828,6.987854290825679
