sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SN2007jm,IIn,g',54332.55686108,54333.45404412744,2.4806357585636354,0.00038456946374998126,40.61982972984657,99.99762964647766
SN2007jm,IIn,i',54359.76928241564,54341.24625958634,1.7536125184110962,0.0003804889959149068,42.33853188882565,87.12332688819704
SN2007jm,IIn,r',54345.11672173534,54341.67212085823,1.144717563343489,0.0003675576765877086,45.555700161722704,0.5259898377937763
SN2007jm,IIn,u',54331.21142557635,54368.091204780765,0.06820514140898506,2.8776537256028782,13.244937963208699,99.9917616239031
SN2007jm,IIn,z',54354.069136104365,54368.28043520522,3.772248928336504,0.001663071903256457,23.230941644575672,99.98262237013785
SN2021agrl,IIn,G,59572.09003766258,59584.349029082296,2.1414566640934343,0.0007570773180534567,29.32014508903797,0.35016451183957287
SN2019bwb,IIn,G,58630.52042527057,58565.52262000001,0.09952207731192732,0.0022378890650143817,15.00335272466429,42.2365028345595
SN2019esa,IIn,G,58632.66963453122,58685.884383151635,1.112144523307298,4.8375442808690774e-05,67.24622733482792,0.7474209927289412
SN2018cvk,IIn,G,58479.636779999164,58471.93793406329,1.699254780204188,1.7570353302464266e-05,99.9999999999986,76.68159968931074
SN2008ip,IIn,i',54858.8634278716,54867.10117121493,1.1807985767884317,0.0019098195008806474,18.57797422437027,9.800757653204478
SN2008ip,IIn,r',54852.08243840264,54864.75403273653,1.2142032106809941,0.0016181220441037478,20.98219595875171,10.048730429883896
SN2008B,IIn,i',54474.40398300224,54488.46238628653,1.5493208712307742,0.00125370071847156,17.383742462262955,4.415383576152092
SN2008B,IIn,r',54472.03953194429,54489.52404526643,1.4529884309364902,0.0007068206531236496,20.365502893192982,3.7840385664956475
SN2006gy,IIn,i',53971.83316782293,53959.09100345867,0.4779033728002961,0.0022574774665032366,38.83818129984441,77.43669420132616
SN2006gy,IIn,r',53972.15602617877,53959.09085586062,0.49381449986613907,0.0020289820759539267,39.22941492154064,86.53027006110962
SN2020rc,IIn,G,58861.74564822329,58853.46470903126,2.130642454563839,0.0005990386014224421,31.01262014894201,99.88176759819105
