supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2017zg,II,G,57843.39601384007,57813.395896425594,3.2186724477599156,-1.1323952655053116,10.000000090486372,29.99999997281965
SN2019fif,II,G,58626.15166667308,58596.94117331331,6.006315388449709,-2.540819584159049,10.01454376975927,30.0015309295445
SN2018cwa,II_P,G,58312.749194165124,58303.33897123889,361.1322108980534,-179.8396973099305,10.000001655569426,30.00000565940714
SN2016ase,II,G,57519.498990001615,57489.498989989115,2.1487019933941642,-0.5898287720683746,10.000000000008765,29.99999999999746
SN2018imf,II_P,G,58461.50464868248,58439.279381559005,130.04003328462537,-64.46681539672299,10.000000155296794,30.000000574301335
SN2018ajz,II,G,58209.26693011176,58182.38751075927,19.179095223424895,-9.165926380600828,10.008346830215066,30.00063098133791
SN2019ust,II,G,58700.12079641698,63005.29514817591,52480.9755624749,-26195.467430036497,3.365976765213012,3.26956059325844
SN2016adl,II,G,57522.508989985065,57492.50899027233,5.551148512893728,-2.186500359921679,9.999999999904121,30.00000000003189
SN2020rvn,II,G,58724.48382617887,68887.513772543,52414.48597752611,-25528.0263605295,6.0896767705173165,16.615432743962728
SN2018hij,II_P,G,58402.689425971614,58396.842143781316,1.02063162470683,0.00034125040885468587,54.60326410979759,0.10000927674999505
SN2017glw,II_P,G,57998.58839290381,57986.7912469249,332.34245309336455,-165.5147848465175,10.000685960506848,30.006197208057625
SN2017cat,II,G,57819.013413583496,57804.03224333402,240.26053593509357,-119.53725163847554,10.000778592470631,30.00795216807668
SN2007ad,II,i',54160.596968103,54133.99667497169,38.01989596809287,-18.570949352463135,10.004301286338153,30.02313776595534
SN2007ad,II,r',54160.58630354371,54133.4755771631,33.44121514585348,-16.281235111218336,10.003749199067682,30.020022761161545
SN2021vvc,II,G,59448.84914361333,59423.861606044076,49.95636891668502,-24.570293724684216,10.000027397678426,30.00017252496429
SN2021qwf,II,G,59387.19941004112,59472.44451863108,228.70868948616436,-113.79057464433063,10.003066367321539,30.030263270031742
SN2020yzo,II,G,59175.09888368955,59147.089953143695,40.041263372310034,-19.509558693747305,10.000212210015459,30.00149945433393
SN2006pc,II_P,g',53965.00835298394,54028.99873091053,0.8255718367420978,-0.0007185890319091515,20.6093020201698,30.428112290444986
SN2006pc,II_P,i',54040.38211166591,53970.48064135627,-0.133664818244128,-0.012189252470453694,10.364270608772097,29.912109255234476
SN2006pc,II_P,r',54029.43698364108,54027.34442881038,5.038060225985951e-05,221.45051825344973,12.096224434576186,3.3688293201278237
SN2006pc,II_P,u',54043.146168411724,54033.622425283545,0.7882764047766098,0.012065940634203937,5.170510634000277,3.430706374732664
SN2006pc,II_P,z',54044.757586846375,54019.38263240543,0.12664985711173962,0.014924918872845267,13.294355899170169,9.903662516331543
SN2020aze,II,G,58879.29234418437,58874.06318457314,283.70790259342004,-141.2836272306504,10.00021555649536,30.001061319777055
SN2019ibk,II,G,58698.32567739927,58667.84761602702,0.05321516832634082,-0.014733402738568602,10.00075624130414,29.999742716975057
SN2021yke,II,G,59538.96725369105,59388.64101773441,0.03467760842555648,0.0025075422350090124,40.803897916210964,45.09780439814114
SN2019dts,II,G,58609.86483167059,58580.1017063597,1.5596910977304639,-0.3066391209805946,10.000665622739668,29.999990142173818
SN2016hwn,II_P,G,57707.85192997855,57677.85193038344,5.56746863772753,-2.1982254725701154,9.999999999862501,30.000000000045734
SN2021gdz,II,G,59332.329310104986,59308.272756233644,88.85357434702014,-43.8872558647775,10.000007275294198,30.000038619087793
SN2019pnk,II,G,58750.23914636622,66411.41443631581,52119.63731692985,-25938.073311909513,9.880617157930338,30.025384015835733
SN2018gk,II,G,58135.15162483876,58106.064860487975,14.216148754966403,-6.615869115167236,10.000064429495797,30.00029817836832
SN2017ipa,II,G,58084.02556718814,58077.750025042995,127.71067274491924,-63.304386087716956,10.000002035323577,29.99999958498182
SN2017hta,II,G,58062.46568786367,58034.446437483464,19.216575708168648,-9.093526422283464,10.007198226264716,30.00086652727796
SN2021ytn,II_P,G,59499.86599518968,59469.604569792165,0.017353592992641744,0.2819906112220339,5.442318984318764,5.705657585244431
SN2021eay,II,G,59299.4011543332,59283.74825868216,198.15524772410737,-98.5290706812884,10.000014047337054,30.00002689434825
SN2019eif,II,G,58613.351760984064,58582.99735928403,-0.04366755580380915,-0.037623571549678714,9.996831728940128,29.99983396076628
SN2016xb,II,G,57410.592970917154,57382.68899961689,-0.5228558451293626,-1.420910857996527,9.942206755854011,30.001317237866186
SN2019spk,II,G,58743.80597901268,59945.614571297156,13098.175338237717,-6536.1546216940515,8.681039671869694,25.792138726593606
SN2021bbm,II,G,59272.13710153859,59298.183506134854,891.6690131624086,-444.69440033898474,10.00003403145558,30.00014209937506
SN2006be,II_P,i',53827.55772555003,53800.15030773291,29.76113873602078,-14.431783098161842,10.001956226680024,30.01032454817954
SN2006be,II_P,r',53825.46698768457,53798.18647413524,36.658287982233304,-17.852086529742238,10.00118692666708,30.006490800470242
SN2022rp,II,G,59605.04306723107,71555.05090595638,7939.082776946743,-3939.314050892518,9.868213969491013,30.47018961552065
SN2018ccb,II,G,58297.47328937467,58274.97822738325,85.61818436273529,-42.3121507655474,10.000030397491786,30.000139421485667
SN2018kpo,II,G,58518.52362372677,58498.63965395558,167.94343882467737,-83.40200044882975,10.000129948184238,30.00119343893134
SN2007rt,II,i',54439.63631365078,54417.16937506646,51.426620081181625,-25.339529780406586,10.004349204732799,30.026211837089907
SN2007rt,II,r',54437.0723994044,54401.28332217437,0.819429988421957,0.00011804099099051963,82.82996681355024,0.9986717348628014
SN2017fem,II_P,G,57905.10686415816,57929.958731543506,0.32657749056755125,-3.890569256582695,7.931019504510347,30.16512902587329
SN2016iyz,II_P,G,57768.100167260796,57744.91968336534,110.46365207350655,-54.66486001474729,10.000212660973919,30.000955932101636
SN2018gex,II,G,58396.657711682834,58375.14446069759,71.6104747175792,-35.40626742492,10.000103380894334,30.00083558936701
SN2017hcy,II,G,58030.32891989522,58008.41784088553,108.75351864727226,-53.877145915003915,10.007020643876354,30.06154791274244
SN2020adfj,II,G,59216.61966286024,59190.53365262352,60.92502003226522,-29.941303276954823,10.000165514692307,30.00070263815124
SN2005gi,II_P,g',53640.278493942926,53610.46762348836,1.1200589756809185,-0.0532973033746062,10.01153876563218,30.0032953327544
SN2005gi,II_P,i',53585.93024053983,53611.77753191982,0.0004555362506241072,14.729079816343774,30.191700002879937,99.99999999897284
SN2005gi,II_P,r',53640.39596194306,53610.442457272075,-0.845057692060063,-0.6577192581069998,9.966702438763575,29.992594504457415
SN2005gi,II_P,u',53638.26869116067,53608.815844526456,3.2971851472671605,-1.1324722273795271,9.967183559091502,30.00118777152251
SN2005gi,II_P,z',54481.43887739678,53613.836416621656,1.3666161386134487e-17,95.02992387116356,23.680645012456523,99.99902901332881
SN2006gq,II_P,g',53849.08298709623,53980.69388955979,0.38368147988954515,339.54364715114843,13.670485590601514,6.641057580838901
SN2006gq,II_P,i',54006.30151329936,53976.79775901355,-0.6413749495783037,-0.26974125810126387,9.945221588315942,30.03243125670948
SN2006gq,II_P,r',54000.72259537585,53970.732325167475,3.2289009435926306,-1.148124748876832,10.015226777486733,30.28114238704702
SN2006gq,II_P,u',53885.55726418011,53985.84775339157,469.98234228801476,551.2177466093941,6.525043770153544,99.99999999585987
SN2006gq,II_P,z',53797.307298993466,53971.61927854048,0.007138335966416687,56.79004447573052,30.870759087988557,13.230421913775558
SN2016hjg,II_P,G,57708.891694351994,57690.424834166195,96.64905560727671,-47.87345052946506,10.000272877824433,30.00126064321267
SN2005lc,II,g',53622.63629057321,53598.276306650405,65.75207476876544,-32.42011124830006,10.004179173544276,30.025239475755452
SN2005lc,II,i',53309.595258468056,53617.69431859877,-0.6699344247794945,1.1972416773472796,8.358328699011603,26.940752951158693
SN2005lc,II,r',53705.32547264956,53760.76709521542,0.0056028465073149625,0.03745463683876865,4.310979406375555,4.009582647653136
SN2005lc,II,u',53622.523542148214,53594.64916571667,38.713828694162856,-18.84167989910332,10.001748150003502,30.010747005019567
SN2005lc,II,z',53701.14249603922,53701.84597788599,1.1445127432220987,0.0010442542063496744,5.210943126193765,4.5271785642423445
SN2020gpe,II,G,58962.011492299745,62340.205381947235,52649.06322885543,-26290.390998094692,9.393840385122534,27.555045391309896
SN2019aas,II,G,58505.71110785962,58511.43214592609,276.95123991710807,-137.9297675829824,10.002498135487285,30.019595534921244
