supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
PSc160225,Ia,0.23352,i,94,8.466657661823748e-09,55324.60000039021,55877.84582174969,7.915533559381796e-11,-4.037590249359238e-06,9.999998353479542,30.00000054669829
PSc160225,Ia,0.23352,r,88,5.574886115672679e-09,55296.59999999997,55849.56599974707,6.109182037678028e-10,0.7065090666549245,9.999999998943698,30.000000000350962
PSc160225,Ia,0.23352,z,102,7.78595698416964e-08,55412.4,55966.52399998345,-3.478847506561359e-11,0.7633452728019899,9.999999999944421,30.000000000018467
SN2017fzw,Ia,0.0054,B,13,2.128139045982709e-06,57984.55845298269,58345.068414773836,1.4448957811337375,2.9064543918334362e-06,8.278783092662977,2.434528712693943
SN2017fzw,Ia,0.0054,G,14,2.0892961308540407e-06,58000.64882711085,58366.1909138362,13.212645999909764,-6.549352422741241e-06,12.186485247435886,99.99999999999939
SN2017fzw,Ia,0.0054,U,14,1.510775731924994e-06,57984.00092591572,58669.318468000216,1.394312787813886,7.521679467918113e-07,7.597997589918196,1.916301688290202
SN2017fzw,Ia,0.0054,UVM2,14,3.136172916512984e-08,57984.42274124568,58438.88228891811,1.0178701198791504,1.7836234265461974e-06,24.472611557451593,3.2158968614510264
SN2017fzw,Ia,0.0054,UVW1,13,3.661002285465423e-07,57983.72005058712,58442.12064887609,1.246161529601186,1.73084696661382e-06,10.98442991061243,1.7957324438006657
SN2017fzw,Ia,0.0054,UVW2,13,1.0568175092136563e-07,57983.15162880609,58011.6126593072,0.3896145880702917,0.0042713693161691955,61.02685243205051,2.44071174726064
SN2017fzw,Ia,0.0054,V,13,3.4103582265334926e-06,57985.69777052238,59532.646535517684,124.59651515914966,-4.1213006676545446e-07,8.131395167220271,4.820597947307935
SN2006ln,Ia,0.171,g',19,5.893862502405792e-09,54021.96012955855,54037.40749367207,1.9430014847210961,-0.0011366590725124933,16.885347024807412,4.136605690557573
SN2006ln,Ia,0.171,i',20,6.047835918817993e-09,54022.04759498682,54070.33580527224,2.155538819171512,-0.00021371291886975266,27.617521654601372,3.826982554796752
SN2006ln,Ia,0.171,r',20,6.2748016199785074e-09,54017.799526723276,54038.6093529292,1.2882077388792799,-0.0009897128748389901,55.8526418591098,3.30660711226393
SN2006ln,Ia,0.171,u',19,2.1657084947100715e-09,54038.99795348161,54038.293301489495,0.1134659551164897,0.49997444075648034,4.29331897223059,2.344691749761156
SN2006ln,Ia,0.171,z',19,4.965923214503358e-09,54023.89635061391,54646.016072466795,0.946544899593991,8.708034037055968e-07,32.96807461788439,8.752718517384595
SN2001C,Ia,0.0111,B,18,3.8370724549227845e-07,51788.81901246064,54007.46594273699,104.02626834545671,7.968575344422198e-08,27.427635498078843,6.679847835094475
SN2001C,Ia,0.0111,C,13,1.3182567385564074e-06,51958.54443221139,52470.510548002676,0.21517773545349597,2.4306129666883243e-06,2.446901806687202,2.750380914793349
SN2001C,Ia,0.0111,I,18,8.472274141405963e-07,51948.017489013444,52966.18082398211,30.64819069062079,-9.162615589626423e-07,12.946283214301996,99.99999999999997
SN2001C,Ia,0.0111,R,39,1.2022644346174106e-06,51939.26873728145,52779.80981881702,29.363520503536723,-1.3473988591617272e-06,14.313094604633047,99.99999999999997
SN2001C,Ia,0.0111,V,22,7.726805850957021e-07,51734.22549843911,51978.49263818862,81.67110557686945,0.00026152436990762267,39.62966046793342,6.455094715497461
PSc540156,Ia,0.52746,g,87,1.2948516066624634e-09,56164.4,56726.04399963858,-2.6426533720265866e-08,0.3282625837097264,9.9999999991325,30.000000000288203
PSc540156,Ia,0.52746,i,92,2.0042874171705208e-09,56263.3,56825.932999444674,7.477592964865777e-09,0.5737398999276738,9.999999998715586,30.000000000426713
PSc540156,Ia,0.52746,r,88,3.2722012032215842e-09,55833.4,56391.73400002145,-3.0052653331589705e-10,0.6404142090028723,10.000000000054264,29.999999999981974
PSc540156,Ia,0.52746,z,103,3.2791403104285216e-09,55098.84551249747,56285.421285327444,1.4976182419111506,-2.2564213041223013e-07,4.501516523916759,3.810657698301202
