supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2020sgg,Ia,G,59094.499284121084,55844.01840783265,4.332151749801729e-06,0.07332875416813103,22.176539429581684,99.99999999999999
SN2021dmq,Ia,G,59249.04868332294,59267.90663349663,0.8053559993010534,0.19457503451155908,10.6280554221458,99.9987635325274
SN2006ol,Ia,g',54038.90957308115,54040.94851813157,0.2548084121956326,0.3573505722454398,5.420192054274354,0.51891377158009
SN2006ol,Ia,i',54060.031406145456,53962.69522211092,-0.00410029969662172,-0.02380606014191588,10.080101655874335,29.97316762910214
SN2006ol,Ia,r',54038.8606196448,54039.69276869147,0.21171621168827973,0.19039833097745917,7.082657201822656,1.128701738586688
SN2006ol,Ia,u',54056.28467392708,53983.05862684405,-0.0005772015349853055,-0.05028407648714583,9.905954796454486,29.991621221399928
SN2006ol,Ia,z',54064.220268673635,53967.6013989057,0.0038789028198313582,-0.01926433703587611,10.349533060061969,29.966969603478027
SN2005jq,Ia,g',53672.08477504799,53642.169317949636,0.008016779285578465,-0.014043516236925029,9.842410801248988,31.745755632840154
SN2005jq,Ia,i',53697.641804538835,53635.71684440445,0.1112486679010384,0.005062439357048835,1.9484754250425425,1.9064624940203254
SN2005jq,Ia,r',53678.05884539939,53319.91861215897,5.982681174354728,-20.535769742230542,10.010255442452614,29.996749015138437
SN2005jq,Ia,u',53692.51001474076,53646.96121679506,0.25914155254736376,-0.12096182608867623,12.129008890384634,29.107478893717918
SN2005jq,Ia,z',53697.55465979669,53675.968827098324,0.8657822820221268,0.0021096573385986023,2.800040346635691,2.528724182551467
SN2017dcg,Ia,G,57856.699480460375,68534.40794731228,50860.422444729265,-25354.654568811387,9.97468505977953,30.065355234268573
SN2007mh,Ia,g',54378.91982180957,54361.22634131902,2.1095987335545075e-05,231.38163670358006,7.761712852383606,3.9682190479432435
SN2007mh,Ia,i',54358.12862861879,54383.47053593709,-57.00907979242189,-324.05861682290225,9.376060492684232,30.17101595699841
SN2007mh,Ia,r',54360.72701685613,54359.85641617731,0.02240985118390345,-0.2817520838583194,9.455515550399078,30.202617235897655
SN2007mh,Ia,u',54384.31779094091,54350.92814821285,-0.035535334297203694,-0.8123205365418283,10.031733554630955,34.22128806354547
SN2007mh,Ia,z',54392.81286821156,54356.65691732404,0.11214336295820794,-0.20295048691161865,10.162976323279224,29.980499335457424
SN2019mju,Ia,G,58709.43151006453,58679.49125780605,-0.5355494813727951,-0.40945338208344817,10.000008970592953,29.999983868203394
SN2019vpz,Ia,G,58779.91915390109,62588.941626752916,52508.24327016481,-26215.042922429893,8.052711769423638,21.963255872215065
SN2018cmk,Ia,G,58312.23539967393,58289.70127866907,110.53791933270425,-54.72021356206734,10.000075860311092,30.000307351907082
SN2007oj,Ia,g',54285.17295355018,53734.28365935496,47.11525449930644,-0.36056162411444853,8.885144330579411,30.999996740496904
SN2007oj,Ia,i',54384.76793462229,54819.845196189686,40.74347013480887,-5.305856003738426e-06,14.66135837128594,0.10004490760257252
SN2007oj,Ia,r',54394.360889035386,46290.56105008095,5.7709662140497496e-09,4.120371322646961,22.2961449523273,2.778007465406468
SN2007oj,Ia,u',54390.1404788182,54380.184168695465,2.5050460699599755e-05,519.2201991690409,5.958761434904898,3.682288570413475
SN2007oj,Ia,z',54399.25252877352,54363.22869313811,0.05338723609466793,-0.15669554366106372,10.062608743348697,29.98512957520402
SN2008A,Ia_Pec,i',54491.13236998852,54461.26483476214,-0.09656160275817957,-0.017499956201137756,9.989176655664977,29.99769703170144
SN2008A,Ia_Pec,r',54476.096117831476,41656.17011246476,3.331375652876068e-10,30.4457161863376,23.335511150393167,4.197452882336726
SN2021hdv,Ia,G,59333.347983976106,62579.25818118425,52978.10145362598,-26451.744707633497,9.982932589216622,29.939772559528453
SN2020acgt,Ia,G,59196.194656087544,59192.829706568926,1.6186191284575417,1.0255928080311942,2.054772114765645,1.665481924798143
SN2007nq,Ia,i',54401.331025433494,54372.06513581007,10.719276048018882,-4.901359148302719,9.99984677006258,29.99922987546379
SN2007nq,Ia,r',54401.3428143262,54371.46318147923,2.754893729766236,-0.89654461595469,9.999999195912139,29.99998751158141
SN2017bej,Ia,G,57806.31775088138,57776.35207368858,1.2650066368330348,-0.27156147204698156,10.000000163379799,30.000000882092635
SN2016izv,Ia,G,57743.1175366365,57713.310126590375,-0.4344984880422984,-0.34995185146812613,10.000004119535511,29.999989657804313
SN2007fr,Ia,g',54348.28005075806,54320.59780862342,27.53389052871605,-13.335818417235489,10.002692488498894,30.016923414706408
SN2007fr,Ia,i',54348.222054274804,54319.2466639413,16.46232693347518,-7.741845023911065,10.00054324762354,30.00335383051787
SN2007fr,Ia,r',54348.22350058389,54318.94282396956,11.124425696893633,-5.091410225419817,10.000663027223899,30.004144000273552
SN2007fr,Ia,u',54349.70434910844,54364.11420744913,0.11974253593516722,0.057281065306010966,14.477969128668326,1.313746803690897
SN2007fr,Ia,z',54348.25297541394,54318.96345544367,13.033533767435232,-6.030644691621579,10.001322160444937,30.00838902003162
SN2019hez,Ia,G,58669.08679876558,58644.60985889929,99.53727460830493,-49.223578452171935,10.000105064959243,30.000630146975055
SN2007mc,Ia,g',54395.24524527407,54344.135308716846,0.0015233077499370398,-0.042060692344894145,10.021861177478055,29.990779390082622
SN2007mc,Ia,i',54396.39413980602,54033.32557163675,-0.671927069975757,-11.270540353835813,10.034423268371683,29.990270771717825
SN2007mc,Ia,r',54413.545118385744,54362.4326986501,0.001613162019474955,-0.10180030892984722,10.222204312772991,29.931646384174186
SN2007mc,Ia,u',54388.09684201374,54358.85011529716,0.7448226376773858,-3.7041924864204114,9.000432259598087,30.344055533249623
SN2007mc,Ia,z',54369.26026182776,54302.68656839624,10.55993988898403,-0.000275523117317188,1.5505052445934246,1.161774874592367
SN2006fm,Ia,g',53999.36793520037,44179.22261917044,1.4750576280893375e-09,15.20635034242047,12.458465652205806,3.776034710476254
SN2006fm,Ia,i',53800.50514472033,53977.282038927944,73.36737607080462,120.68797723347163,12.923752361811657,22.915716453512015
SN2006fm,Ia,r',54008.84265713789,83418.91432798162,-34777.62710049555,-28938.850563303717,10.006554745243156,29.870373438954477
SN2006fm,Ia,u',53998.23008383658,53968.22724766563,-0.5052981209109251,-0.025696548858899826,10.000357984074823,29.997136240643936
SN2006fm,Ia,z',53919.40154411097,53965.45383741834,0.0054853061367342755,16.74719442198603,17.668145212188175,99.99999999998073
SN2018hlv,Ia,G,58333.55503574804,62717.386339210265,52093.95163283001,-26002.350946161656,6.054142477523564,15.477289791485251
SN2007mm,Ia,g',54395.14028304161,54364.50069475337,0.0026013905037578127,-0.13463387914078387,10.007906708761535,30.301602105981836
SN2007mm,Ia,i',54336.83810311058,53.434318422128854,97.83389516742163,-2458.382645137538,4.724474998430021,36.186090537432314
SN2007mm,Ia,r',54389.58413874685,49769.62245505578,6.544718120538161e-08,1.206074496535668,14.288408375763273,3.0559455117579137
SN2007mm,Ia,u',54196.32946252589,54359.635544695426,95499.17994243407,0.16597542348023941,11.619422829829304,99.99999996204053
SN2007mm,Ia,z',54292.54466396264,54360.95972643518,-0.06773108019170351,-0.0720669615395705,0.9209292728009295,33.067758219345436
SN2018bak,Ia,G,58228.39262747877,58198.33309434633,-0.400758735567075,-0.7811391787258888,10.014468911739842,29.995279751119828
Gaia18ddp,Ia,G,58414.355717618804,58385.71226200291,-0.10955929731953147,-0.6015516412762256,10.000113646809462,29.999911325489382
SN2007ob,Ia,i',54408.10482891833,54379.324299086365,16.93949163426741,-8.01947036789082,9.999920125987375,29.999464998774737
SN2007ob,Ia,r',54408.10761140746,54378.45828701802,6.010436989523923,-2.535481519606461,9.999971029946959,29.999820481695714
SN2019fcr,Ia,G,58658.246089495384,58645.888904020685,260.38238577224814,-129.60177499921622,10.000686864435718,30.00488320050751
SN2018oe,Ia,G,58104.72299776372,62051.72891736413,51881.53016795747,-25903.010671328186,6.734189288446412,15.192550546183087
ASASSN-15ae,Ia,G,57014.99952256593,60065.30134082129,50925.40990052844,-25430.069742433352,8.143907205985936,20.95869641624157
SN2022bcc,Ia,G,59619.76491191353,59591.21178431625,20.109420969007978,-9.619887493268562,10.00003043515281,30.000356528480935
SN2021hpr,Ia,G,59327.10770049739,59298.700991283346,32.60530550371562,-15.78535513660801,10.000058713132784,30.00045178901483
SN2018enc,Ia,G,58338.39531930344,58310.04092124073,30.07994064531701,-14.525033003559383,10.000000128844373,30.00000098705659
SN2019llt,Ia,G,58695.13788,58665.13787988277,-8.858221890517071e-10,0.1532825356891135,9.999999999823718,30.000000000058566
SN2021seh,Ia,G,59411.7167094184,59434.43046542902,202.8001801394294,-100.38303460442842,9.998282635882292,30.000356110535684
SN2020swy,Ia,G,59132.80847187212,59104.08888102366,18.35090593439854,-8.70129651482337,10.000032870652,30.000131876237887
SN2005mn,Ia,g',53707.817682755645,53675.32800403569,-0.00011635606491021132,-0.0001643575507844394,10.127377982887793,29.99206800997416
SN2005mn,Ia,i',53697.12765704729,53319.199482252516,0.0047377160599409406,-0.0004721225712841283,10.0078713801814,29.989357387805057
SN2005mn,Ia,r',53710.20520921655,53675.32571488004,3.511486234293549e-05,-0.00040216303760698836,10.37829636588749,29.983071973362144
SN2005mn,Ia,u',53693.34707095652,53677.91081166698,0.42066833788385083,0.010476674031156815,9.762019131414577,6.377297489203481
SN2005mn,Ia,z',53779.23523152422,53679.72282950956,10.184942556316352,0.004358128304567774,9.729810819099216,6.552373570969524
SN2007sw,Ia,i',54465.48600096822,54436.70799973706,20.59313810693343,-9.799674344350551,10.000328688240653,30.001861811938628
SN2007sw,Ia,r',54470.522799457955,54440.64842239887,2.042285641254227,-0.5272505905058766,10.000252526579686,30.001187402441897
SN2007pe,Ia,g',54368.123240028806,54367.86383317448,0.01550890607676305,-0.07764351798221923,9.53391038218139,30.182838255528445
SN2007pe,Ia,i',53856.91122972507,54349.768511148926,-1.7297319523234822,-0.15695542372583904,2.2236548213809932,66.88733723929055
SN2007pe,Ia,r',53971.813478724485,54345.55094198074,-2.436787538189426,-0.11476852620229215,1.8815551595463837,47.248464577084874
