supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
SN2003ma,IIn,0.289,I,21,1.3803842646028866e-08,52988.61697322776,73019.9315648669,86.09702464526897,-2.4663578765602697e-09,99.99999999999999,0.1001172055269188
SN2003ma,IIn,0.289,VR,43,1.1912420080273762e-08,52986.45665372923,77815.95675211158,63.724348743526804,-1.5979335183512105e-09,99.99999999999999,1.4161891934180346
SN2019esa,IIn,0.00589,G,21,1.445439770745928e-06,58281.73180946977,58755.41334014077,35.04228279577557,1.2623974835999354e-05,94.30945697912632,6.536693723446518
SN2017ben,IIn,0.036,G,10,4.405548635065525e-08,57736.0456134655,58351.8256551108,0.03878183397966639,0.0004555500052416964,69.76611333933836,50.275703690278924
SN2017ben,IIn,0.036,i,11,4.345102241715705e-08,57821.809423187704,58378.02258728106,0.22962708525839953,0.00021526874908688008,1.2918799011326063,0.7718835424192199
SN2016eem,IIn,0.02,B,18,1.4046237261128346e-07,57611.97582495757,58331.45299372214,3.3854326598157978,-1.5781134985018164e-06,0.7972380070583175,0.7516846682266416
SN2016eem,IIn,0.02,I,14,3.6691038148241676e-07,57392.13342144068,58226.308328199695,3.720452545396355,0.13113511080404983,16.37994813395418,31.260399875559713
SN2016eem,IIn,0.02,V,17,9.37475658250407e-08,57616.421462758786,58132.41683538721,5.423317776049493,-3.559884780976685e-06,3.5768898454223907,92.71704305454458
SN2016eem,IIn,0.02,r,13,2.8827036633071224e-07,57611.93894890108,58437.913372748575,0.7410828869913819,-3.499511385885759e-07,0.6723481747528581,0.6692843021801577
SN2008ip,IIn,0.0151,B,20,3.080349536542561e-07,54837.15646282575,54864.51299770454,0.7955257121449485,0.0008249669297263712,22.04056451524236,0.27183989402242803
SN2008ip,IIn,0.0151,H,37,6.81710526305853e-07,54618.371764768635,55724.136549337854,12.566016560136232,-4.064477872637265e-07,99.9947830987934,34.49367723900521
SN2008ip,IIn,0.0151,J,37,5.717418729175535e-07,54788.3524383806,55546.68355848772,2.233395171412176,8.067453309061285e-07,71.05488067857871,99.99999999999535
SN2008ip,IIn,0.0151,K,34,8.143291852092434e-07,54739.79539715063,55558.26851321171,4.229724350810769,-3.0919805665440027e-07,99.99315548765799,99.98635762439022
SN2008ip,IIn,0.0151,V,25,3.640826637894004e-07,54858.592051420375,54868.29691686301,0.8423337502324646,0.0020017545449104693,17.29503960571666,10.670074689800547
SN2008ip,IIn,0.0151,i',31,3.385322128153544e-07,54701.02836669982,55415.6478190207,6.9542112086240415,3.6633843058402373e-06,54.91025525152818,99.97766914392653
SN2008ip,IIn,0.0151,r',29,3.509134383585521e-07,54852.082111874886,54864.75387213845,1.2142096744386524,0.0016181152534278382,20.982250372889215,10.048678660269672
SN2020xkx,IIn,0.0415,G,44,6.792036326171829e-08,59417.972949518786,60425.92227155089,2.775318972002176,-3.0971355130097315e-07,99.93923630363615,80.36005714540282
