sn_name,sn_type,band,A,phi,sigma,k
2004gq,Ib,r',1.1436980346494794,53374.20745000001,34.06392299683974,0.10000000000000002
SN2006fo,Ic,g',1.546136259395249,53996.39811390048,19.49897899597083,0.1000000000084097
SN2006fo,Ic,i',1.1625238211751563,54004.383314765866,35.653645475626575,0.10000000000000182
SN2006fo,Ic,r',1.3918429320705257,53993.925493234216,25.884264338300525,0.33841737394468496
SN2006fo,Ic,u',3.242717788551575,53996.413946732944,6.4082617303152425,0.10013631076047054
SN2006fo,Ic,z',1.2511735187751707,53996.39306333878,60.10831840356705,0.10000000000000002
SN2020voz,Ib,G,1.245576259332839,59154.58991000001,81.27086747905783,0.10000000000000002
SN2017fwm,Ic,G,0.65764869901255,57965.423477733224,2.243718701636188,1.339827018783095
SN2019azq,Ic,G,0.07808033945700445,58552.88182004992,2.988004414043438,2.7306414694192362
SN2006qk,Ic,g',1.0,54068.16415,1.9979983333323617,2.0
SN2006qk,Ic,i',1.0,54068.16166,1.9979966666663433,2.0
SN2006qk,Ic,r',1.0,54068.16083,1.9979966666663433,2.0
SN2006qk,Ic,u',1.0,54068.16249,1.9979966666675562,2.0
SN2006qk,Ic,z',1.0,54068.16332,1.9979983333335742,2.0
2009jf,Ib,i',1.321603743201516,55118.72944605372,29.39993002459475,0.1094407565774141
2009jf,Ib,r',1.3010424985102018,55118.69657127354,26.811446811354674,0.10000000000000045
2009jf,Ib,u',1.2609015536391677,55118.5860206036,9.461463260691547,0.10000000003463314
SN2007ru,Ic_Pec,i',1.5287755970466705,54438.99018714456,16.9122495728642,0.10000000000000102
SN2007ru,Ic_Pec,r',1.430973870292974,54438.90817237033,15.5587149407111,0.10000000000000295
SN2008bo,Ib_c,i',1.2421510576439452,54563.400509908824,26.862279791504374,0.10000000000006493
SN2008bo,Ib_c,r',1.2587914384407615,54563.40416738202,21.61293615560531,0.10000000000001076
SN2020aers,Ib_c,G,1.2205333819566653,59208.16311000001,52.67581501513345,0.1000000000000013
SN2005hm,Ib,g',1.5005293403555884,53637.17902835798,16.674251666677055,0.10676380585036979
SN2005hm,Ib,i',1.328847109665833,53644.09819875725,29.89924314154492,0.10000000000000046
SN2005hm,Ib,r',1.3497519724344895,53643.83540493321,25.844276540347085,0.10000000000000006
SN2005hm,Ib,u',0.003936876531717347,53621.19233055109,4.756225797580774,3.9159657267979537
SN2005hm,Ib,z',1.2571109959314584,53635.835373957954,30.511569676026514,0.4414993729258244
SN2022S,Ib_c,G,0.9085582355967575,59580.346280000005,5.85034499161232,0.9992628066434315
SDSS-II SN 20682,Ib_c,g',0.9781435137927869,54424.915619745654,24.592155003792318,3.0580289653277006
SDSS-II SN 20682,Ib_c,i',1.2735423453502985,54406.24920984542,12.60679163018059,0.1088862018675218
SDSS-II SN 20682,Ib_c,r',0.9918959761536859,54431.311909591765,8.220758260886214,2.145872429242437
SDSS-II SN 20682,Ib_c,u',1.3299301384397666,54388.32886000001,121.98194736888655,19.190630456427712
SDSS-II SN 20682,Ib_c,z',1.326167389068836,54431.25771,6.653876666667202,2.0
