sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
2006gi,Ib,i',53999.20216657976,54036.51499721113,2.1207844858387697,0.00017103598160428106,34.341744107560935,99.99605411765195
2006gi,Ib,r',53992.481000000196,54024.08556592335,2.7693844707071005,0.0003687362233766562,29.46068584629,99.9999996836588
SN2021adgu,Ic,G,59583.46913225399,59615.5908112549,0.6065217081899146,0.00046076769225047927,68.37114640202496,34.979850725561874
SN2021vnw,Ib,G,59436.28239304996,59458.059518568014,3.2526005107762046,0.023143079509443446,10.979192691234282,48.83400560320299
SDSS-II SN 19190,Ib_c,g',54357.76410236194,54377.690314923864,5.493820492766372,0.028361946698652777,9.660690968986579,99.99997684185935
SDSS-II SN 19190,Ib_c,i',54406.23390999885,54369.12052986986,0.00010790328720047114,10.252942846951207,16.18287667514097,50.462001200341376
SDSS-II SN 19190,Ib_c,r',54331.19532787943,54368.325272057344,0.06409213407184569,1.1400463137257277,17.367133251698334,94.76148640491274
SDSS-II SN 19190,Ib_c,u',54346.06907597682,54357.4681161946,0.4994698662433384,0.0005587675903936385,49.18540404511441,50.1334380364467
SDSS-II SN 19190,Ib_c,z',54396.194059999994,54413.63427025438,0.8538603033559813,86.81729391240503,2.945975229715753,8.140227051389358
SN2020nke,Ib,G,59021.04996117073,59065.29017127508,0.9192672116066702,0.002636218096392342,26.747963103116316,52.207902195228826
SN2018cim,Ib,G,58275.61536933109,58320.767146199105,2.0017342191897836,0.000150745335660677,39.98214004143247,99.99497692572811
SN2021hrj,Ib,G,59321.65628713771,59312.40858135575,2.1571184726160686,0.0007912425243853715,21.583816201058664,99.9267162272848
SDSS-II SN 11241,Ib_c,g',53666.39162999999,53681.688360693886,0.014410963699850917,57.00416264416364,5.718540669799067,11.484317061050946
SDSS-II SN 11241,Ib_c,i',53616.267136950475,53627.71381780396,0.5004509921273623,0.0014757892560667554,49.21068386362881,50.13409801364168
SDSS-II SN 11241,Ib_c,r',53666.391361202885,53682.50114884734,0.005465170012294866,45.115494734307994,7.595280798838686,11.220529611006548
SDSS-II SN 11241,Ib_c,u',53616.266398670436,53627.733838423694,0.4995684067534671,0.0007437684408714999,49.21518268522478,50.13429415473589
SDSS-II SN 11241,Ib_c,z',53676.3659599995,53678.98401504765,0.1849743623551189,0.21471746865474195,6.700881221525886,1.0015209670360132
SN2007ju,IcQ,g',54380.96219174886,54402.085115078386,0.9106938322705961,0.002288420506245919,13.341731645706776,7.372871221585217
SN2007ju,IcQ,i',54387.99028456527,54388.51947439613,1.1048597784133827,0.012291204875115794,8.272236327328475,5.120793147907977
SN2007ju,IcQ,r',54374.265033040116,54379.677050056256,1.9534575246718229,0.0034943434717447375,10.947009658015666,3.4563766304041796
SN2007ju,IcQ,u',54376.838635561275,54396.794930078395,0.84286840899709,0.0037040629654319997,10.499709357905031,2.841944601598409
SN2007ju,IcQ,z',54399.42900236744,54393.049504678835,1.2478884378073405,0.0060739322089575125,7.4216773625177055,5.475198380122393
2007gr,Ic,i',54331.463810213296,54368.608935373515,3.025724296076999,0.0006437124056829337,23.60760583096124,99.89193317332054
2007gr,Ic,r',54331.46149000004,54367.87525675511,2.7352055407168763,0.00094463862217051,21.809206964090915,99.99999999904895
SN2007sj,Ib_c,g',54346.17483524753,54357.563378778,0.5006438056111676,0.0015588497896553428,49.18232980494654,50.13278744871468
SN2007sj,Ib_c,i',54346.1756542715,54357.56448399619,0.5005863192404867,0.001509692234430688,49.18232392850212,50.13280801727907
SN2007sj,Ib_c,r',54346.175337967245,54357.58812964014,0.5004299408913532,0.0014033929944446966,49.19505987923118,50.13354224024271
SN2007sj,Ib_c,u',54346.175389649274,54357.56671203262,0.4995410330844254,0.0006189705128396952,49.180606887800124,50.13308700238141
SN2007sj,Ib_c,z',54346.175695198464,54357.56393919678,0.5007618047128543,0.0016654929423812778,49.182527681905206,50.13275663262022
SN2016ecg,Ic,G,57522.75280695935,57554.63302069956,2.451324101608114,0.00020992817479587294,30.664530117793227,43.65968780804548
SN2020aers,Ib_c,G,59198.16328682499,59215.807489512335,3.5619317723066053,0.0012451566013725204,22.23893282438652,99.99496903530073
2006fo,Ib,i',54005.54679132221,54026.0291192458,1.5835030391412663,0.00042635613808301293,26.2146226840231,6.137701689271381
2006fo,Ib,r',54002.30817875209,54031.42786540182,1.1580233729427833,0.00042923587537069025,29.44318702883899,3.428608304383547
SN2020zgl,Ib,G,59181.31316993001,59218.63794386109,2.405915143051741,0.00020805497399619327,34.26418356802325,99.98047472973863
SDSS-II SN 16708,Ib_c,g',54025.16374503257,54028.61199540523,0.0012955302246285799,46.16725393436808,7.213081857060091,26.15491449794165
SDSS-II SN 16708,Ib_c,i',54025.165409999994,54029.18182648006,1.2084142663238643e-05,3693.867699423355,6.8685835520310965,2.2541666633076374
SDSS-II SN 16708,Ib_c,r',54025.16374999999,54038.62835231278,0.2109261347998461,65.9779205590257,3.266848466071338,9.06290756005548
SDSS-II SN 16708,Ib_c,u',54020.20457406449,54032.99358138344,0.0013303896223015575,7.071789150638857,17.14127662586294,0.10008161864772719
SDSS-II SN 16708,Ib_c,z',53960.16541012913,54009.754748980915,23.215730259442118,0.012518845366594512,12.924331518785333,99.99999999999999
2005bf,Ib,i',53508.26098128982,53491.40906806481,1.9640977851640133,3.015868272679183e-16,12.628179513974276,7.754076079255275
2005bf,Ib,r',53500.7416380647,53517.645593778805,2.0284724181092595,3.649398251183015e-18,14.765570203187492,7.131288564502487
SDSS-II SN 16114,Ib_c,g',53999.28686823528,54017.58621558102,0.3872413446799774,0.004235632532721377,18.35160788852014,2.842274829389801
SDSS-II SN 16114,Ib_c,i',53974.27035540828,53976.32455629829,0.005511198034153359,1.8165723252905182,12.217347438111174,99.9801303742737
SDSS-II SN 16114,Ib_c,r',54043.328239654445,54051.08269574197,0.0010183747129990251,25.468540546619487,10.447086545076797,6.0917033181713105
SDSS-II SN 16114,Ib_c,u',53960.26033846353,54003.16971987038,1.6445656383045133,0.001225118020868478,26.938763512046375,99.99802276227076
SDSS-II SN 16114,Ib_c,z',54019.61839856991,54025.21211410717,0.05612756711026162,0.10564457193840246,11.415651925742335,5.062640383704472
2004gt,Ic,i',53370.47087321782,53388.585091256246,4.020950160697837,0.0014209777532393328,19.0818836585683,99.9975899341549
2004gt,Ic,r',53370.469070000036,53390.236562623504,3.4204523845438177,0.0006222540862705934,23.724214125728526,99.99999999992691
SN2021ttw,Ib,G,59425.54387000004,59425.54387000001,2.603495600410829,0.00034374118252561816,36.563605317655366,99.99999998162589
SN2017gax,Ib_c,G,57982.9337441321,58027.24472429299,3.2239038072835275,0.00042306733381221464,26.971859218215663,99.99622257143206
SN2021lvb,Ib,G,59347.61619587096,59373.85015171386,1.0651655190815545,0.0005035270193203255,31.07092925524474,1.4772916344321732
SDSS-II SN 2986,Ib_c,g',53622.04704797189,53637.82794430265,1.2337768558324527,0.0019368423630328926,19.98351307448168,2.7563785128435785
SDSS-II SN 2986,Ib_c,i',53607.40931618908,53648.265285990485,2.308293786640534,0.00039022131785949947,33.51993300709451,99.99994916937415
SDSS-II SN 2986,Ib_c,r',53625.35078773898,53640.19425310528,1.1057124887412888,0.003903509985041141,16.05153800284046,4.28767915968787
SDSS-II SN 2986,Ib_c,u',53607.40564471754,53651.52265062303,1.19612215222896,11.408720153941868,6.773770181429769,99.98993398111716
SDSS-II SN 2986,Ib_c,z',53672.40355999999,53660.74426471375,0.465752840249052,0.002732357561548459,13.996203865808116,11.020242886083846
SN2019buy,Ib,G,58596.57329995822,58646.57329999999,1.8510462190549972,3.5195673030467496e-05,54.954129107787665,33.39825626888329
SN2005gt,Ic,g',53607.41169000123,53627.185385523946,3.367931307542406,0.31098770977588114,6.9008183318108935,99.99999999477869
SN2005gt,Ic,i',53607.412213557145,53621.70440949183,0.017672435202379242,5.162939844828963,10.633675042573614,97.65799647672637
SN2005gt,Ic,r',53607.41225380476,53624.11660169596,0.06285750140675854,3.496621565502377,9.095303582679012,97.73800127023227
SN2005gt,Ic,u',53624.12067375456,53667.03538411507,5.304222922465237,41.94217986800159,5.238533918150492,99.99999991296474
SN2005gt,Ic,z',53612.36728001378,53671.98644485244,374.90576921236027,0.02567524462787364,9.455458452033529,99.99999999999999
SDSS-II SN 14532,Ib_c,g',53960.31727864767,53993.696468233844,0.12954525873635708,7.230158337093104,9.423604087368588,99.91173773723911
SDSS-II SN 14532,Ib_c,i',53960.317332029306,53991.46119928313,0.05346086892780226,3.6537215000171925,11.601310592223863,93.64502361524623
SDSS-II SN 14532,Ib_c,r',53960.317017191024,53997.64289853984,0.3028591915410119,11.349143246851083,8.203519211372999,99.99980629336012
SDSS-II SN 14532,Ib_c,u',54025.31590999999,54037.56810040107,0.056176938188287256,36.03711128146749,3.828473792443714,8.71919547036313
SDSS-II SN 14532,Ib_c,z',53960.31615076796,53993.5739003072,0.017808228951724816,1.4004998330344705,19.302475165597077,93.53531544432182
SN2015K,Ic,G,57196.64678587841,57179.88675239753,0.27456990928575653,0.004328001187820536,11.746169358425023,10.595002505656042
2006ck,Ic,i',53918.2297934827,53898.491063301924,1.998539981257105,0.025503369359493128,1.971257550373091,1.7084045510905348
2006ck,Ic,r',53888.46935082091,53890.976205660256,1.231960620548149,0.010032991493093802,9.607093084806447,4.86538015836338
SN2020uas,Ib_c,G,59137.61913336623,59168.073021123666,2.559068319408054,0.000756837049079896,25.743667922478924,99.98760135818026
SN2007aw,Ic,i',54235.25977538207,54226.59756042174,0.001733009927504585,1.0410961176056823,86.88008821553557,33.309029274082384
SN2007aw,Ic,r',54195.13322824434,54202.104444396224,0.7809615848673889,0.007633671032783629,72.09017237884008,16.26387426946293
2006cb,Ib,i',53867.97356031667,53871.81587942401,2.3163076354297923e-05,3071.7137743848225,4.8162003873846935,1.834366884656572
